entity_id,score,model_score,rule_score,threshold,severity,explanation,mapped_tactics
test-agent-00000,0.75,0.139267,0.75,0.632019,high,先进行内网探测，随后远程启动未知进程。,Discovery / Lateral Movement
test-agent-00004,0.745036,0.745036,0.0,0.632019,high,敏感凭据读取后紧接外传动作，呈现数据窃取链路。,Credential Access / Exfiltration
test-agent-00006,0.75,0.121002,0.75,0.632019,high,先进行内网探测，随后远程启动未知进程。,Discovery / Lateral Movement
test-agent-00008,0.8,0.781347,0.8,0.632019,high,短序列内发生批量文件改写与备份删除。,Impact
test-agent-00012,0.638879,0.638879,0.0,0.632019,medium,该行为序列相对训练基线具有较高上下文偏离，关键事件见证据列表。,Behavioral Anomaly
test-agent-00016,1.0,0.808445,1.0,0.632019,critical,敏感凭据读取后紧接外传动作，呈现数据窃取链路；不可信内容输入后发生权限提升，疑似提示注入导致工具劫持。,Credential Access / Exfiltration; Prompt Injection / Privilege Escalation
test-agent-00019,0.8,0.704847,0.8,0.632019,high,短序列内发生批量文件改写与备份删除。,Impact
test-agent-00020,0.691427,0.691427,0.0,0.632019,medium,出现启动项注册表写入，具有持久化特征。,Persistence
test-agent-00021,1.0,0.802976,1.0,0.632019,critical,敏感凭据读取后紧接外传动作，呈现数据窃取链路；不可信内容输入后发生权限提升，疑似提示注入导致工具劫持。,Credential Access / Exfiltration; Prompt Injection / Privilege Escalation
test-agent-00023,0.75,0.134816,0.75,0.632019,high,先进行内网探测，随后远程启动未知进程。,Discovery / Lateral Movement
test-agent-00027,1.0,0.810299,1.0,0.632019,critical,敏感凭据读取后紧接外传动作，呈现数据窃取链路；不可信内容输入后发生权限提升，疑似提示注入导致工具劫持。,Credential Access / Exfiltration; Prompt Injection / Privilege Escalation
test-agent-00028,0.75,0.129603,0.75,0.632019,high,先进行内网探测，随后远程启动未知进程。,Discovery / Lateral Movement
test-agent-00033,1.0,0.731598,1.0,0.632019,critical,敏感凭据读取后紧接外传动作，呈现数据窃取链路；不可信内容输入后发生权限提升，疑似提示注入导致工具劫持。,Credential Access / Exfiltration; Prompt Injection / Privilege Escalation
test-agent-00036,0.661009,0.661009,0.0,0.632019,medium,敏感凭据读取后紧接外传动作，呈现数据窃取链路。,Credential Access / Exfiltration
test-agent-00040,0.658045,0.658045,0.0,0.632019,medium,该行为序列相对训练基线具有较高上下文偏离，关键事件见证据列表。,Behavioral Anomaly
test-agent-00042,1.0,0.799994,1.0,0.632019,critical,敏感凭据读取后紧接外传动作，呈现数据窃取链路；不可信内容输入后发生权限提升，疑似提示注入导致工具劫持。,Credential Access / Exfiltration; Prompt Injection / Privilege Escalation
test-agent-00044,0.7,0.605019,0.7,0.632019,medium,出现启动项注册表写入，具有持久化特征。,Persistence
test-agent-00048,0.652889,0.652889,0.0,0.632019,medium,出现启动项注册表写入，具有持久化特征。,Persistence
test-agent-00051,0.7,0.622777,0.7,0.632019,medium,出现启动项注册表写入，具有持久化特征。,Persistence
test-agent-00052,0.639185,0.639185,0.0,0.632019,medium,该行为序列相对训练基线具有较高上下文偏离，关键事件见证据列表。,Behavioral Anomaly
test-agent-00054,1.0,0.807709,1.0,0.632019,critical,敏感凭据读取后紧接外传动作，呈现数据窃取链路；不可信内容输入后发生权限提升，疑似提示注入导致工具劫持。,Credential Access / Exfiltration; Prompt Injection / Privilege Escalation
test-agent-00057,0.75,0.12048,0.75,0.632019,high,先进行内网探测，随后远程启动未知进程。,Discovery / Lateral Movement
test-agent-00060,0.752109,0.752109,0.0,0.632019,high,敏感凭据读取后紧接外传动作，呈现数据窃取链路。,Credential Access / Exfiltration
test-agent-00061,0.8,0.664242,0.8,0.632019,high,短序列内发生批量文件改写与备份删除。,Impact
test-agent-00064,0.8,0.772157,0.8,0.632019,high,短序列内发生批量文件改写与备份删除。,Impact
test-agent-00069,0.7,0.697586,0.7,0.632019,medium,出现启动项注册表写入，具有持久化特征。,Persistence
test-agent-00070,0.8,0.745411,0.8,0.632019,high,短序列内发生批量文件改写与备份删除。,Impact
test-agent-00071,0.8,0.594348,0.8,0.632019,high,短序列内发生批量文件改写与备份删除。,Impact
test-agent-00072,0.722767,0.722767,0.0,0.632019,medium,出现启动项注册表写入，具有持久化特征。,Persistence
test-agent-00073,0.8,0.716198,0.8,0.632019,high,短序列内发生批量文件改写与备份删除。,Impact
test-agent-00076,1.0,0.800982,1.0,0.632019,critical,敏感凭据读取后紧接外传动作，呈现数据窃取链路；不可信内容输入后发生权限提升，疑似提示注入导致工具劫持。,Credential Access / Exfiltration; Prompt Injection / Privilege Escalation
test-agent-00078,0.8,0.799534,0.8,0.632019,high,短序列内发生批量文件改写与备份删除。,Impact
test-agent-00086,1.0,0.800057,1.0,0.632019,critical,敏感凭据读取后紧接外传动作，呈现数据窃取链路；不可信内容输入后发生权限提升，疑似提示注入导致工具劫持。,Credential Access / Exfiltration; Prompt Injection / Privilege Escalation
test-agent-00087,0.8,0.681113,0.8,0.632019,high,短序列内发生批量文件改写与备份删除。,Impact
test-agent-00088,0.668081,0.668081,0.0,0.632019,medium,敏感凭据读取后紧接外传动作，呈现数据窃取链路。,Credential Access / Exfiltration
test-agent-00091,1.0,0.804518,1.0,0.632019,critical,敏感凭据读取后紧接外传动作，呈现数据窃取链路；不可信内容输入后发生权限提升，疑似提示注入导致工具劫持。,Credential Access / Exfiltration; Prompt Injection / Privilege Escalation
